31.000006 1709326 114684  682999  0.432641 74 1291.969971
32.000006 1772528 126494  746787  0.464583 74 1305.930054
33.000006 1836418 138703  811078  0.498097 74 1320.459961
34.000006 1900973 151170  876010  0.532716 74 1335.869995
35.000006 1965367 163799  940495  0.566838 74 1351.770020
36.000006 2025275 175836  1000485  0.598766 74 1368.380005
37.000006 2079659 187076  1054815  0.628456 74 1385.469971
38.000007 2128844 197550  1103996  0.656121 74 1403.130005
39.000007 2174547 207375  1149721  0.682556 74 1421.530029
40.000007 2217025 216680  1192141  0.707925 74 1440.439941
41.000007 2253049 224585  1228172  0.729601 74 1459.780029
42.000007 2282886 231144  1258013  0.746840 74 1478.369995
43.000007 2307527 236490  1282660  0.760891 74 1497.229980
44.000007 2329481 241202  1304624  0.773431 74 1516.319946
45.000007 2348569 245421  1323718  0.784603 74 1535.670044
46.000007 2365162 249067  1340320  0.794514 74 1555.170044
47.000007 2379473 252316  1354639  0.803230 74 1574.699951
48.000007 2391212 254953  1366378  0.810480 74 1594.319946
49.000007 2400146 256973  1375312  0.816116 74 1614.199951
50.000007 2407505 258632  1382671  0.820796 74 1634.189941
51.000007 2413749 260015  1388915  0.824812 74 1654.229980
52.000007 2418984 261200  1394150  0.828183 74 1674.329956
53.000007 2422849 262089  1398015  0.830758 74 1694.469971
54.000007 2426066 262862  1401232  0.832942 74 1714.640015
55.000007 2428457 263379  1403489  0.834467 74 1734.859985
56.000008 2429869 263712  1404901  0.835423 74 1755.130005
57.000008 2430526 263887  1405559  0.835866 74 1775.329956
58.000008 2431219 264037  1406252  0.836329 74 1795.560059
59.000008 2431399 264072  1406432  0.836435 74 1815.780029
60.000008 2431593 264117  1406626  0.836570 74 1836.739990
61.000008 2431704 264147  1406737  0.836645 74 1858.140015
62.000008 2431742 264156  1406775  0.836661 74 1879.560059
63.000008 2431872 264185  1406906  0.836690 74 1900.750000
64.000008 2431907 264194  1406944  0.836705 74 1921.849976
65.000008 2431916 264194  1406954  0.836706 74 1942.959961
66.000008 2431916 264194  1406954  0.836706 74 1964.060059
67.000008 2431943 264198  1406984  0.836713 74 1985.160034
68.000008 2431943 264198  1406984  0.836713 74 2006.280029
69.000008 2431943 264198  1406984  0.836713 74 2027.369995
70.000008 2432239 264267  1407280  0.836845 74 2048.479980
71.000008 2432382 264297  1407424  0.836926 74 2069.610107
72.000000 2432580 264341  1407651  0.836998 74 2090.760010
1.000003 68240 102  5  0.000073 74 2097.870117
2.000003 191789 346  10  0.000052 74 2098.669922
3.000003 349124 762  25  0.000072 74 2100.459961
4.000004 513555 1456  53  0.000103 74 2103.439941
5.000004 665531 2562  75  0.000113 74 2107.639893
6.000004 788688 4083  138  0.000175 74 2112.899902
7.000004 870457 5779  204  0.000234 74 2118.929932
8.000004 932223 7683  293  0.000314 74 2125.510010
9.000005 961216 8784  355  0.000369 74 2132.429932
10.000005 978491 9724  515  0.000526 74 2139.520020
11.000005 989866 10708  1031  0.001044 74 2146.709961
12.000005 1000990 11770  2929  0.002945 74 2153.989990
13.000005 1014781 12917  10039  0.009979 74 2161.360107
14.000005 1040537 14600  29989  0.029053 74 2168.889893
15.000005 1080763 17110  65228  0.060837 74 2176.659912
16.000005 1127554 20366  106412  0.095112 74 2184.790039
17.000006 1173521 24382  148160  0.127331 74 2193.320068
18.000006 1221080 29554  194126  0.160651 74 2202.239990
19.000006 1274110 36367  246426  0.195979 74 2211.570068
20.000006 1331057 44321  303342  0.231701 74 2221.399902
21.000006 1390196 52946  362934  0.266350 74 2231.739990
22.000006 1451348 62172  424106  0.299156 74 2242.659912
23.000006 1513048 72024  486337  0.330069 74 2254.129883
24.000006 1575241 82562  549024  0.358929 74 2266.209961
25.000007 1636678 93266  611018  0.385571 74 2278.879883
26.000007 1696690 103801  671649  0.409886 74 2292.179932
27.000007 1753172 114158  728702  0.431617 74 2306.050049
28.000007 1804896 124265  780842  0.450753 74 2320.449951
29.000007 1850866 133705  826955  0.467109 74 2335.330078
30.000007 1891377 142677  867513  0.481440 74 2350.639893
31.000007 1927415 150881  903588  0.494693 74 2366.320068
32.000007 1960742 158711  936929  0.507897 74 2382.340088
33.000007 1993517 166376  969704  0.522246 74 2398.689941
34.000007 2027318 174353  1003515  0.538826 74 2415.360107
35.000007 2063689 182750  1039846  0.558104 74 2432.389893
36.000007 2100216 191005  1076257  0.578174 74 2449.780029
37.000007 2134490 198972  1110532  0.597221 74 2467.500000
38.000007 2166598 206726  1142640  0.614813 74 2485.570068
39.000008 2196721 214033  1172828  0.631180 74 2503.949951
40.000008 2224507 221049  1200461  0.646222 74 2522.620117
41.000008 2249106 227144  1225047  0.659743 74 2541.810059
42.000008 2271288 232641  1247216  0.671643 74 2561.179932
43.000008 2291592 237514  1267520  0.682460 74 2580.820068
44.000008 2309165 241866  1285093  0.691805 74 2600.679932
45.000008 2324631 245604  1300588  0.700014 74 2620.659912
46.000008 2338342 248886  1314299  0.707572 74 2640.879883
47.000008 2351328 252104  1327286  0.714699 74 2661.229980
48.000008 2363544 255160  1339503  0.721404 74 2681.679932
49.000008 2374718 258002  1350677  0.727561 74 2702.320068
50.000008 2384904 260555  1360863  0.733210 74 2723.050049
51.000008 2393739 262827  1369698  0.738154 74 2743.860107
52.000008 2401161 264709  1377120  0.742290 74 2764.570068
53.000008 2407123 266254  1383082  0.745655 74 2785.340088
54.000008 2412003 267575  1387962  0.748433 74 2806.129883
55.000008 2416127 268633  1392086  0.750764 74 2826.989990
56.000008 2419519 269520  1395478  0.752690 74 2847.889893
57.000009 2421950 270159  1397820  0.753996 74 2868.830078
58.000009 2424424 270804  1400178  0.755308 74 2889.770020
59.000009 2426557 271417  1402311  0.756508 74 2910.739990
60.000009 2428406 271931  1404160  0.757563 74 2931.739990
61.000009 2430097 272390  1405851  0.758514 74 2952.739990
62.000009 2431526 272779  1407280  0.759302 74 2973.760010
63.000009 2432509 273047  1408272  0.759857 74 2994.820068
64.000009 2432956 273157  1408729  0.760089 74 3015.889893
65.000009 2433292 273256  1409065  0.760287 74 3036.949951
66.000009 2433482 273317  1409255  0.760396 74 3058.020020
67.000009 2433674 273359  1409447  0.760509 74 3078.909912
68.000009 2433811 273387  1409584  0.760587 74 3099.850098
69.000009 2433859 273400  1409632  0.760615 74 3120.780029
70.000009 2433939 273428  1409712  0.760661 74 3141.780029
71.000009 2434041 273472  1409814  0.760718 74 3162.879883
72.000000 2434054 273478  1409830  0.760725 74 3184.050049
1.000001 70965 106  0  0.000000 74 3191.580078
2.000001 199225 362  9  0.000045 74 3192.419922
3.000002 364955 800  23  0.000063 74 3194.360107
4.000002 533992 1498  40  0.000075 74 3197.550049
5.000002 681174 2614  88  0.000129 74 3201.979980
6.000002 798200 4241  150  0.000188 74 3207.330078
7.000003 876860 5916  218  0.000249 74 3213.379883
8.000003 934243 7549  315  0.000337 74 3219.929932
9.000003 960137 8570  493  0.000513 74 3226.820068
10.000003 980020 9609  1090  0.001112 74 3233.840088
11.000003 994329 10651  3148  0.003168 74 3241.030029
12.000003 1010472 11864  10510  0.010420 74 3248.290039
13.000003 1035602 13577  29446  0.028497 74 3255.830078
14.000003 1073430 15951  62169  0.058089 74 3263.540039
15.000003 1119317 18973  102061  0.091585 74 3271.510010
16.000003 1165729 22761  143318  0.123620 74 3279.800049
17.000004 1212498 27644  187689  0.155890 74 3288.580078
18.000004 1262225 33788  236507  0.188962 74 3297.770020
19.000004 1318083 41614  291836  0.223600 74 3307.479980
20.000004 1378608 50313  351871  0.258052 74 3317.860107
21.000004 1440195 59808  413371  0.290560 74 3328.810059
22.000004 1503063 69640  476108  0.321175 74 3340.370117
23.000004 1565638 80167  538926  0.349618 74 3352.459961
24.000005 1627179 90594  600507  0.375526 74 3365.010010
25.000005 1687298 101253  660952  0.399417 74 3378.409912
26.000005 1744939 111855  718623  0.420938 74 3392.159912
27.000005 1797237 122185  770955  0.439895 74 3406.409912
28.000005 1844901 131953  818487  0.457016 74 3421.179932
29.000005 1889008 141442  862379  0.473680 74 3436.330078
30.000005 1931169 150725  904408  0.491521 74 3451.949951
31.000005 1973907 160224  947146  0.512142 74 3467.919922
32.000005 2017358 169864  990442  0.535175 74 3484.429932
33.000005 2060662 179275  1033648  0.559177 74 3501.260010
34.000005 2102788 188491  1075603  0.583204 74 3518.649902
35.000005 2143417 197534  1115900  0.607250 74 3536.379883
36.000006 2182354 206200  1154661  0.631740 74 3554.580078
37.000006 2219835 214680  1192012  0.655700 74 3573.030029
38.000006 2251993 221772  1224170  0.675776 74 3591.889893
39.000006 2278243 227429  1250262  0.691610 74 3611.090088
40.000006 2301026 232534  1272831  0.705045 74 3630.770020
41.000006 2321721 237136  1293526  0.717534 74 3650.500000
42.000006 2341365 241573  1313124  0.729435 74 3670.399902
43.000006 2359009 245541  1330567  0.740301 74 3690.459961
44.000006 2374593 249064  1346151  0.750289 74 3710.679932
45.000006 2388073 252071  1359565  0.758761 74 3731.060059
46.000006 2398739 254385  1370041  0.765646 74 3751.629883
47.000006 2406954 256259  1378256  0.771156 74 3772.310059
48.000006 2413876 257790  1385180  0.775818 74 3793.070068
49.000006 2419246 259020  1390550  0.779564 74 3813.850098
50.000006 2423223 259947  1394527  0.782486 74 3834.899902
51.000006 2426389 260660  1397647  0.784751 74 3855.830078
52.000006 2428542 261125  1399800  0.786343 74 3876.830078
53.000006 2429398 261303  1400656  0.786959 74 3897.860107
54.000006 2429937 261409  1401151  0.787313 74 3918.739990
55.000007 2429974 261421  1401188  0.787343 74 3939.760010
56.000007 2430150 261456  1401340  0.787439 74 3960.919922
57.000007 2430257 261479  1401447  0.787509 74 3982.060059
58.000007 2430444 261517  1401634  0.787631 74 4003.120117
59.000007 2430609 261532  1401788  0.787659 74 4024.159912
60.000007 2430609 261532  1401788  0.787659 74 4045.280029
61.000007 2430673 261546  1401852  0.787701 74 4066.340088
62.000007 2430738 261554  1401895  0.787722 74 4087.419922
63.000007 2430829 261568  1401985  0.787777 74 4108.509766
64.000007 2430980 261585  1402048  0.787783 74 4129.600098
65.000007 2431022 261597  1402090  0.787811 74 4150.680176
66.000007 2431219 261631  1402227  0.787872 74 4171.770020
67.000007 2431288 261642  1402293  0.787916 74 4192.879883
68.000007 2431358 261654  1402341  0.787915 74 4214.120117
69.000007 2431388 261661  1402371  0.787919 74 4235.549805
70.000007 2431388 261661  1402371  0.787919 74 4256.959961
71.000007 2431388 261661  1402371  0.787919 74 4278.339844
72.000000 2431389 261662  1402372  0.787919 74 4299.759766
1.000000 69969 122  4  0.000057 74 4306.720215
2.000001 200290 374  5  0.000025 74 4307.580078
3.000001 364116 824  17  0.000047 74 4309.479980
4.000001 524911 1523  35  0.000067 74 4312.589844
5.000001 674960 2664  62  0.000092 74 4316.740234
6.000001 794314 4207  113  0.000142 74 4321.859863
7.000001 874476 5888  185  0.000212 74 4327.620117
8.000002 934868 7682  256  0.000274 74 4333.919922
9.000002 959327 8695  316  0.000329 74 4340.600098
10.000002 978483 9660  461  0.000471 74 4347.379883
11.000002 990458 10617  852  0.000860 74 4354.520020
12.000002 1000302 11595  2046  0.002054 74 4361.649902
13.000003 1010062 12691  5975  0.005941 74 4368.990234
14.000003 1024802 13943  15907  0.015592 74 4376.229980
15.000003 1048910 15717  35588  0.034157 74 4383.709961
16.000003 1081837 18069  63498  0.059111 74 4391.399902
17.000003 1114152 20504  91436  0.082721 74 4399.350098
18.000003 1140267 22912  115537  0.102286 74 4407.709961
19.000003 1162598 25262  136990  0.119224 74 4416.140137
20.000003 1183099 27644  157067  0.134951 74 4424.600098
21.000003 1203702 30343  177531  0.151459 74 4433.279785
22.000004 1226554 33613  200323  0.171373 74 4442.370117
