7937 0 4
441 0 4 1
2 0 4 1 2
4 0 4 1 3
84797 0 4 2
105 0 4 2 1
1 0 4 2 1 3
726 0 4 2 3
6303 0 4 3
5 0 4 3 1
9 0 4 3 2
