69274
2670 0
1 0 1
2 0 2
5 0 3
3 0 4
12874 1
1 1 0
8 1 2
70 1 3
1 1 3 2
43 1 4
8 2
1114 3
6 3 4
15688 4
1 4 0
26 4 1
2 4 2
32 4 3
