19685 0
38 0 1
12990 0 2
20 0 2 1
1 0 2 1 4
366 0 2 3
1350 0 2 4
60933 0 3
39 0 3 1
393 0 3 2
1308 0 3 4
2 0 3 4 1
3563 0 4
5 0 4 1
2 0 4 2
182 0 4 3
1 3 4
