5
29 0
3 0 4
79568 1
171 1 0
1267 1 2
1 1 2 0
32 1 2 3
3 1 2 4
11644 1 3
12 1 3 0
17 1 3 2
74 1 3 4
7866 1 4
7 1 4 0
8 1 4 2
131 1 4 3
1 3
12 4
