12857
43 0
6 1
1 2
1025 3
1 3 1
11 3 4
74478 4
5473 4 0
3 4 0 1
17 4 0 2
126 4 0 3
2857 4 1
1 4 1 0
10 4 1 2
17 4 1 3
16 4 2
3861 4 3
3 4 3 0
3 4 3 1
7 4 3 2
