409
4 0
4 1
108 3
17808 4
43778 4 0
33 4 0 1
416 4 0 2
853 4 0 3
23538 4 1
10 4 1 0
28 4 1 2
132 4 1 3
4 4 2
14257 4 3
15 4 3 0
30 4 3 1
12 4 3 2
