3
569 0
6 0 2
4 0 3
344 0 4
2 0 4 2
3 0 4 3
76901 1
471 1 0
1 1 0 2
1 1 0 3
10 1 0 4
564 1 2
1 1 2 0
1 1 2 3
7 1 2 4
17225 1 3
30 1 3 0
45 1 3 2
212 1 3 4
4205 1 4
1 1 4 0
3 1 4 2
25 1 4 3
2 4
