16092 0
18 0 1
46 0 2
4 0 2 3
7537 0 3
1 0 3 1
4 0 3 2
94 0 3 4
1799 0 4
4 0 4 1
1 0 4 2
38 0 4 3
8124 1
370 1 0
5 1 0 3
5 1 0 4
21 1 2
2 1 2 4
56601 1 3
91 1 3 0
54 1 3 2
699 1 3 4
14 1 3 4 2
8762 1 4
14 1 4 0
26 1 4 2
336 1 4 3
2 4
