784 1
9 1 0
1 1 0 3
156 1 2
33 1 2 3
29 1 2 4
96451 1 3
51 1 3 0
160 1 3 2
1 1 3 2 4
1293 1 3 4
2 1 3 4 2
1709 1 4
1 1 4 0
4 1 4 2
88 1 4 3
