6
31 0
1 0 3
80640 1
624 1 0
25 1 0 3
15 1 0 4
337 1 2
3 1 2 4
15815 1 3
22 1 3 0
11 1 3 2
1 1 3 2 4
103 1 3 4
3547 1 4
1 1 4 0
3 1 4 2
15 1 4 3
26 4
