1533
63904 0
372 0 1
2 0 1 3
84 0 2
1 0 2 3
600 0 3
15 0 3 4
410 0 4
10115 1
1 1 0
3 1 2
85 1 3
111 1 4
752 3
30 3 1
2 3 2
4 3 4
21444 4
13 4 0
183 4 1
1 4 1 3
3 4 2
1494 4 3
1 4 3 0
1 4 3 2
