4870
52364 0
41 0 1
51 0 2
205 0 3
1 0 3 4
608 0 4
3 0 4 3
12040 1
12 1 0
6 1 2
2 1 2 4
76 1 3
47 1 4
2620 3
9 3 0
707 3 4
25905 4
257 4 0
62 4 1
13 4 2
408 4 3
