5202 0
8 0 1
5 0 2
93 0 3
35 0 4
1 0 4 3
42112 1
136 1 0
7 1 0 2
529 1 2
2 1 2 0
2 1 2 3
6977 1 3
4 1 3 0
5 1 3 2
34 1 3 4
5817 1 4
1 1 4 0
30 1 4 2
44 1 4 3
124 4
35630 4 0
112 4 0 1
90 4 0 2
546 4 0 3
7 4 1
2906 4 3
272 4 3 0
39 4 3 1
2 4 3 2
