35
2 0
89243 1
370 1 0
6 1 0 3
1 1 0 3 2
15 1 0 4
1229 1 2
13 1 2 0
62 1 2 3
4 1 2 4
4328 1 3
3 1 3 0
4 1 3 2
21 1 3 4
4862 1 4
4 1 4 0
17 1 4 2
51 1 4 3
10 4
