17
10 3
1 3 1
2324 4
52936 4 0
35 4 0 1
123 4 0 2
1121 4 0 3
38874 4 1
19 4 1 0
74 4 1 2
292 4 1 3
4565 4 3
5 4 3 0
9 4 3 1
3 4 3 2
