29
618 0
7 0 2
1 0 3
381 0 4
1 0 4 1
1 0 4 3
87462 1
363 1 0
2 1 0 3
10 1 0 4
415 1 2
1 1 2 0
1 1 2 3
3 1 2 4
8372 1 3
8 1 3 0
28 1 3 2
97 1 3 4
3083 1 4
2 1 4 2
14 1 4 3
4 3
16 4
