31605
57 0
18 1
2 2
1453 3
10 3 4
62712 4
2122 4 0
1 4 0 1
5 4 0 2
34 4 0 3
1070 4 1
1 4 1 0
4 4 1 2
7 4 1 3
9 4 2
1698 4 3
1 4 3 1
2 4 3 2
