1432
48221 0
29 0 1
29 0 2
426 0 3
1 0 3 4
329 0 4
3 0 4 3
5598 1
2 1 0
6 1 2
30 1 3
18 1 4
1 1 4 3
197 3
82 3 0
2 3 1
1 3 4
28592 4
13 4 0
13 4 1
9 4 2
15666 4 3
40 4 3 0
9 4 3 1
2 4 3 2
