4833
30422 0
24 0 1
31 0 2
505 0 3
19 0 3 4
158 0 4
7243 1
8 1 0
2 1 2
52 1 3
47 1 4
2573 3
71 3 1
4 3 4
43780 4
132 4 0
10242 4 1
5 4 1 0
27 4 1 2
50 4 1 3
17 4 2
382 4 3
