18472 0 4
727 0 4 1
5 0 4 1 2
7 0 4 1 3
72093 0 4 2
90 0 4 2 1
1 0 4 2 1 3
553 0 4 2 3
8250 0 4 3
5 0 4 3 1
4 0 4 3 2
