4569
11 0
3 1
1 2
439 3
1 3 4
65283 4
9034 4 0
12 4 0 1
6 4 0 2
57 4 0 3
73 4 1
43 4 2
21016 4 3
20 4 3 0
6 4 3 1
17 4 3 2
