4503 0
1 0 1
4 0 2
2407 0 3
1 0 3 1
3 0 3 2
14 0 3 4
47 0 4
60778 1
599 1 0
4 1 0 3
2 1 0 4
655 1 2
3 1 2 3
3 1 2 4
20923 1 3
10 1 3 0
5 1 3 2
134 1 3 4
10314 1 4
6 1 4 0
24 1 4 2
99 1 4 3
21 4
