20 0
64689 1
4853 1 0
5 1 0 2
779 1 0 3
15 1 0 3 4
195 1 0 4
374 1 2
1 1 2 0
5 1 2 4
23325 1 3
10 1 3 0
48 1 3 2
193 1 3 4
5879 1 4
1 1 4 0
4 1 4 2
80 1 4 3
1 3
7 4
