148
2 0
94332 1
184 1 0
3 1 0 3
1 1 0 3 2
3 1 0 4
636 1 2
10 1 2 0
11 1 2 3
2 1 2 4
2211 1 3
2 1 3 0
1 1 3 2
8 1 3 4
3054 1 4
6 1 4 0
11 1 4 2
26 1 4 3
1 3
23 4
