19223 0
30 0 1
4 0 1 4
1862 0 2
2 0 2 1
17 0 2 3
11 0 2 4
72906 0 3
40 0 3 1
85 0 3 2
2497 0 3 4
1 0 3 4 2
2362 0 4
1 0 4 2
1334 0 4 3
5 0 4 3 1
