1 0
11572 1
583 1 0
178 1 0 3
3 1 0 3 4
37 1 0 4
163 1 2
1 1 2 4
84067 1 3
56 1 3 0
49 1 3 2
5 1 3 2 4
804 1 3 4
2831 1 4
4 1 4 0
3 1 4 2
34 1 4 3
