32
91222 0
78 0 1
1 0 1 3
2 0 1 4
2092 0 2
1 0 2 1
31 0 2 3
45 0 2 4
5300 0 3
3 0 3 1
4 0 3 2
88 0 3 4
1252 0 4
3 0 4 2
7 0 4 3
7 3
130 4
