7
83331 0
114 0 1
5342 0 2
10 0 2 1
100 0 2 3
2 0 2 3 4
138 0 2 4
9782 0 3
7 0 3 1
13 0 3 2
146 0 3 4
1244 0 4
2 0 4 2
11 0 4 3
40 4
