6 0
30049 1
73 1 0
2527 1 2
40 1 2 3
47 1 2 4
53175 1 3
66 1 3 0
56 1 3 2
1 1 3 2 0
432 1 3 4
13084 1 4
24 1 4 0
113 1 4 2
2 1 4 2 3
511 1 4 3
