62
2 0
1 1
27 3
6984 4
50150 4 0
50 4 0 1
188 4 0 2
955 4 0 3
1 4 0 3 1
32398 4 1
8 4 1 0
42 4 1 2
179 4 1 3
1 4 2
9065 4 3
8 4 3 0
22 4 3 1
11 4 3 2
