5425
32666 0
27 0 1
19 0 2
246 0 3
2 0 3 4
299 0 4
1 0 4 3
51200 1
15 1 0
72 1 2
420 1 3
444 1 4
1 2
1846 3
13 3 4
7833 4
4 4 0
3 4 1
44 4 3
