1468
21 0
5 1
240 3
1 3 1
2 3 4
40219 4
28053 4 0
19 4 0 1
181 4 0 2
478 4 0 3
15275 4 1
4 4 1 0
20 4 1 2
80 4 1 3
11 4 2
14036 4 3
18 4 3 0
16 4 3 1
11 4 3 2
