32459
15829 0
7 0 1
5 0 2
52 0 3
39 0 4
22104 1
6 1 0
5 1 2
94 1 3
53 1 4
5 2
6104 3
2 3 0
13 3 4
24044 4
20 4 0
22 4 1
7 4 2
53 4 3
