9
34757 0
18 0 1
692 0 2
2 0 2 1
8 0 2 3
12 0 2 4
2459 0 3
3 0 3 1
1 0 3 2
96 0 3 4
657 0 4
2 0 4 3
55130 1
180 1 0
5 1 0 3
940 1 2
11 1 2 3
7 1 2 4
2856 1 3
2 1 3 0
2 1 3 2
17 1 3 4
2714 1 4
1 1 4 0
1 1 4 2
11 1 4 3
3 3
10 4
