9
79724 1
692 1 0
10 1 0 3
2 1 0 3 2
28 1 0 4
1647 1 2
11 1 2 0
119 1 2 3
6 1 2 4
10298 1 3
11 1 3 0
11 1 3 2
62 1 3 4
7837 1 4
7 1 4 0
23 1 4 2
103 1 4 3
2 4
